candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,157,190,237,222.0,True,False,0,False,0,1,32.0,15.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,163,163,203,203.0,True,False,0,False,0,1,40.0,0.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,165,133,165,135.0,True,False,0,False,0,2,2.0,30.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,166,164,204,191.0,True,False,2,True,1,3,27.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,167,186,232,210.0,True,False,0,False,0,1,24.0,22.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,172,140,174,150.0,True,False,0,False,0,1,10.0,24.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,175,162,202,171.0,True,False,0,False,0,1,9.0,31.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,178,119,148,139.0,True,False,0,False,0,1,20.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,180,238,297,238.0,True,False,0,False,0,1,0.0,59.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,198,165,205,203.0,True,False,1,True,0,2,38.0,2.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,199,176,219,201.0,True,False,0,False,0,1,25.0,18.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,201,153,191,172.0,True,False,0,False,0,1,19.0,19.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,210,148,184,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,212,120,149,143.0,True,False,0,False,0,1,23.0,6.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,215,181,226,190.0,True,False,0,False,0,1,9.0,36.0
